name,description,img,cost,target
Bad Karma,"So painfully true you wish it was fiction! A laugh-out-loud (to keep from crying) romp about what not to do bridging the gap into adulthood.⠀
⠀⠀⠀⠀
A must read regarding the misadventures of youth. The ways in which things are resolved are equal parts heartbreaking and understandable; unbelievable and yet true. A wholeness of life revealed that takes decades to see fully. For this, it's text that's rich and should be rewarded with nothing less than the 5 stars given here.⠀",https://m.media-amazon.com/images/I/51wwuFAg1pL.jpg,16,100
All Junkies Float,"Addiction, recovery, rinse, & repeat is a winning formula that Clarke Wainikka executed masterfully in this dynamic psychological thriller!⠀
⠀⠀⠀⠀
This novel was a satisfying psychological-thriller! Easy to read, “All Junkie Float” keeps you engaged from start to finish. Though this is the Wainikka’s second novel, it read like a bestseller from a seasoned mystery writer. The characters were well-rounded and developed, the flow had a nice balance of twists, the tone was consistent, and the end was rewarding. Just when you think you have it all figured out, like a drug, “All Junkies Float” takes ahold of you and knocks you back down. I’m excited to have been one of the first to read Wainikka’s novel, and I look forward to many more! ⠀",https://m.media-amazon.com/images/I/51NEJYCwyRL._SY346_.jpg,20,100
Empire of Jackals,"Characters you can relate to and a story you will enjoy and never want to put down.⠀
⠀⠀⠀⠀
The world was well thought out and structured. I enjoyed learning about the people and their cultures and customs. The writing was vivid enough to paint the entire story in my mind's eye without being too descriptive, a trait I sometimes abhor in books but thankfully this did not suffer from it.⠀
⠀
I'm an extremely hard reader to please but I can say wholeheartedly that I truly enjoyed this book. It goes without saying that I'm looking forward to the third book in the series.⠀",https://m.media-amazon.com/images/I/51UfOihOrqL.jpg,12,100
The Subtweet,"The Subtweet is a nuanced and satirical examination of internet culture, internet fame, and intersectional (and internet) feminism. I'll admit, I normally hate reading fiction about the internet, finding they normally lack nuance, but this book had a fresh, funny, but deeply relatable and realistic look at internet culture, paired with complex and dimensional lead characters.","https://images-na.ssl-images-amazon.com/images/I/51PE0g6B9lL._SX321_BO1,204,203,200_.jpg",5,100
Kissing Daisy Parker,"“Kissing Daisy Parker” packs a judo kick of laughter, infatuation and naivety that will have readers as engrossed as their video games.⠀
⠀⠀⠀⠀
In his captivating, powerful, and hilariously written novel, Milton takes his target audience — Generation Z readers — back in time to the early 1990s to demonstrate how technology shaped Milennials who came of age during that time, and illustrates the pleasurable affect video games had on young people as a kind of escape from their navigation through life. ","https://images-na.ssl-images-amazon.com/images/I/41heI5i-iYL._SX322_BO1,204,203,200_.jpg",8,100
Broken Melody,"Broken Melody deals with the very real world of drug abuse, addiction, and the costs that comes from the struggle of sobriety and relapse.⠀
⠀⠀⠀⠀
Haase’s exploration of addiction, recovery, and relapse was a difficult one to see. As I can’t speak to the representation of whether or not the depictions of drug abuse, drug addiction, and bipolar disorder are done correctly, I can only say that it is here. I hope that there will be more people that have experience in either of these areas that can read this and attest to the authenticity of the representation.⠀
⠀
In other aspects, the writing style and the prose was easy to follow, and one that I could read in future books from Haase. I am curious to see what is coming next from Haase, and what other kinds of topics she will explore in future books.⠀","https://images-na.ssl-images-amazon.com/images/I/41GROWsR34L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",10,100
Pachinko,"Richly told and profoundly moving, Pachinko is a story of love, sacrifice, ambition, and loyalty. From bustling street markets to the halls of Japan's finest universities to the pachinko parlors of the criminal underworld, Lee's complex and passionate characters — strong, stubborn women, devoted sisters and sons, fathers shaken by moral crisis — survive and thrive against the indifferent arc of history.",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/175868361_959094027964506_1105636288703875707_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=RInumdchTwwAX_6wdao&edm=AABBvjUAAAAA&ccb=7-4&oh=aea63875f872dc44fcceb3674228355b&oe=60A6C32D&_nc_sid=83d603,16,100
Go Tell the Bees That I Am Gone,"The past may seem the safest place to be . . . but it is the most dangerous time to be alive. . . .
 
Jamie Fraser and Claire Randall were torn apart by the Jacobite Rising in 1746, and it took them twenty years to find each other again. Now the American Revolution threatens to do the same. It is 1779 and Claire and Jamie are at last reunited with their daughter, Brianna, her husband, Roger, and their children on Fraser’s Ridge. Having the family together is a dream the Frasers had thought impossible.Yet even in the North Carolina backcountry, the effects of war are being felt. Tensions in the Colonies are great and local feelings run hot enough to boil Hell’s tea-kettle. Jamie knows loyalties among his tenants are split and it won’t be long until the war is on his doorstep.
 
Brianna and Roger have their own worry: that the dangers that provoked their escape from the twentieth century might catch up to them. Sometimes they question whether risking the perils of the 1700s—among them disease, starvation, and an impending war—was indeed the safer choice for their family. Not so far away, young William Ransom is still coming to terms with the discovery of his true father’s identity—and thus his own—and Lord John Grey has reconciliations to make, and dangers to meet . . . on his son’s behalf, and his own.
 
Meanwhile, the Revolutionary War creeps ever closer to Fraser’s Ridge. And with the family finally together, Jamie and Claire have more at stake than ever before.","https://images-na.ssl-images-amazon.com/images/I/51uf17CjFMS._SX327_BO1,204,203,200_.jpg",20,100
A Gambling Man,"The 1950s are on the horizon, and Archer is in dire need of a fresh start after a nearly fatal detour in Poca City. So Archer hops on a bus and begins the long journey out west to California, where rumor has it there is money to be made if you’re hard-working, lucky, criminal—or all three.
 
Along the way, Archer stops in Reno, where a stroke of fortune delivers him a wad of cash and an eye-popping blood-red 1939 Delahaye convertible—plus a companion for the final leg of the journey, an aspiring actress named Liberty Callahan who is planning to try her luck in Hollywood. But when the two arrive in Bay Town, California, Archer quickly discovers that the hordes of people who flocked there seeking fame and fortune landed in a false paradise that instead caters to their worst addictions and fears.",https://m.media-amazon.com/images/I/514TEwu5BkS.jpg,12,100
World Travel: An Irreverent Guide,"Anthony Bourdain saw more of the world than nearly anyone. His travels took him from the hidden pockets of his hometown of New York to a tribal longhouse in Borneo, from cosmopolitan Buenos Aires, Paris, and Shanghai to Tanzania’s utter beauty and the stunning desert solitude of Oman’s Empty Quarter—and many places beyond.

In World Travel, a life of experience is collected into an entertaining, practical, fun and frank travel guide that gives readers an introduction to some of his favorite places—in his own words. Featuring essential advice on how to get there, what to eat, where to stay and, in some cases, what to avoid, World Travel provides essential context that will help readers further appreciate the reasons why Bourdain found a place enchanting and memorable.","https://images-na.ssl-images-amazon.com/images/I/51NKOiMZz8L._SX329_BO1,204,203,200_.jpg",5,100
The Nickel Boys,"Based on the history of a real reform school in Florida that operated for one hundred and eleven years and warped and destroyed the lives of thousands of children, The Nickel Boys is a devastating, driven narrative by a great American novelist whose work is essential to understanding the current reality of the United States.",https://m.media-amazon.com/images/I/51XxBmoQHVL.jpg,8,100
"Wild Game: My Mother, Her Secret, and Me","A daughter’s tale of living in the thrall of her magnetic, complicated mother, and the chilling consequences of her complicity.

Wild Game is a brilliant, timeless memoir about how the people close to us can break our hearts simply because they have access to them, and the lies we tell in order to justify the choices we make. It’s a remarkable story of resilience, a reminder that we need not be the parents our parents were to us",https://m.media-amazon.com/images/I/413kTDJpUKL.jpg,10,100
Quichotte,"Inspired by the Cervantes classic, Sam DuChamp, mediocre writer of spy thrillers, creates Quichotte, a courtly, addled salesman obsessed with television who falls in impossible love with a TV star. Together with his (imaginary) son Sancho, Quichotte sets off on a picaresque quest across America to prove worthy of her hand, gallantly braving the tragicomic perils of an age where “Anything-Can-Happen.” Meanwhile, his creator, in a midlife crisis, has equally urgent challenges of his own.",https://m.media-amazon.com/images/I/51OWCJgKmcL.jpg,16,100
"Out of Many, One: Portraits of America's Immigrants","In this powerful new collection of oil paintings and stories, President George W. Bush spotlights the inspiring journeys of America’s immigrants and the contributions they make to the life and prosperity of our nation.
 
The issue of immigration stirs intense emotions today, as it has throughout much of American history. But what gets lost in the debates about policy are the stories of immigrants themselves, the people who are drawn to America by its promise of economic opportunity and political and religious freedom—and who strengthen our nation in countless ways.","https://images-na.ssl-images-amazon.com/images/I/51BqSXOqW9L._SX399_BO1,204,203,200_.jpg",20,100
"The Boy, the Mole, the Fox and the Horse","What do you want to be when you grow up?” asked the mole.

“Kind,” said the boy.

Charlie Mackesy offers inspiration and hope in uncertain times in this beautiful book, following the tale of a curious boy, a greedy mole, a wary fox and a wise horse who find themselves together in sometimes difficult terrain, sharing their greatest fears and biggest discoveries about vulnerability, kindness, hope, friendship and love. The shared adventures and important conversations between the four friends are full of life lessons that have connected with readers of all ages. ","https://images-na.ssl-images-amazon.com/images/I/418D9yYGB3L._SX369_BO1,204,203,200_.jpg",12,100
The Midnight Library,"""Between life and death there is a library, and within that library, the shelves go on forever. Every book provides a chance to try another life you could have lived. To see how things would be if you had made other choices.... Would you have done anything different, if you had the chance to undo your regrets?""

A dazzling novel about all the choices that go into a life well-lived, from the internationally best-selling author of Reasons to Stay Alive and How to Stop Time.",https://m.media-amazon.com/images/I/51WhLuOA-ML.jpg,5,100
Ikigai: The Japanese secret to a long and happy life,"We all have an ikigai. It's the Japanese word for ‘a reason to live’ or ‘a reason to jump out of bed in the morning’.

It’s the place where your needs, desires, ambitions, and satisfaction meet. A place of balance. Small wonder that finding your ikigai is closely linked to living longer. Finding your ikigai is easier than you might think. This book will help you work out what your own ikigai really is, and equip you to change your life. You have a purpose in this world: your skills, your interests, your desires and your history have made you the perfect candidate for something. All you have to do is find it.

Do that, and you can make every single day of your life joyful and meaningful.","https://images-na.ssl-images-amazon.com/images/I/51T8OXMiB5L._SX356_BO1,204,203,200_.jpg",8,100
The Penelopiad,"As portrayed in Homer's Odyssey, Penelope - wife of Odysseus and cousin of the beautiful Helen of Troy - has become a symbol of wifely duty and devotion, enduring twenty years of waiting when her husband goes to fight in the Trojan War. As she fends off the attentions of a hundred greedy suitors, travelling minstrels regale her with news of Odysseus' epic adventures around the Mediterranean - slaying monsters and grappling with amorous goddesses. When Odysseus finally comes home, he kills her suitors and then, in an act that served as little more than a footnote in Homer's original story, inexplicably hangs Penelope's twelve maids.

Now, Penelope and her chorus of wronged maids tell their side of the story in a new stage version by Margaret Atwood, adapted from her own wry, witty and wise novel.","https://images-na.ssl-images-amazon.com/images/I/51lR52HMY0L._SX316_BO1,204,203,200_.jpg",10,100
Life Before Man,"Imprisoned by walls of their own construction, here are three people, each in midlife, in midcrisis, forced to make choices--after the rules have changed. Elizabeth, with her controlled sensuality, her suppressed rage, is married to the wrong man. She has just lost her latest lover to suicide. Nate, her gentle, indecisive husband, is planning to leave her for Lesje, a perennial innocent who prefers dinosaurs to men. Hanging over them all is the ghost of Elizabeth's dead lover...and the dizzying threat of three lives careening inevitably toward the same climax.",https://m.media-amazon.com/images/I/41EpiLk2U7L.jpg,16,100
Red at the Bone,"As the book opens in 2001, it is the evening of sixteen-year-old Melody's coming of age ceremony in her grandparents' Brooklyn brownstone. Watched lovingly by her relatives and friends, making her entrance to the music of Prince, she wears a special custom-made dress. But the event is not without poignancy. Sixteen years earlier, that very dress was measured and sewn for a different wearer: Melody's mother, for her own ceremony-- a celebration that ultimately never took place.",https://m.media-amazon.com/images/I/41f7OF-b1ML.jpg,20,100
The Book of Magic,"The Owens family has been cursed in matters of love for over three-hundred years but all of that is about to change. The novel begins in a library, the best place for a story to be conjured, when beloved aunt Jet Owens hears the deathwatch beetle and knows she has only seven days to live. Jet is not the only one in danger—the curse is already at work.

A frantic attempt to save a young man’s life spurs three generations of the Owens women, and one long-lost brother, to use their unusual gifts to break the curse as they travel from Paris to London to the English countryside where their ancestor Maria Owens first practiced the Unnamed Art. The younger generation discovers secrets that have been hidden from them in matters of both magic and love by Sally, their fiercely protective mother. As Kylie Owens uncovers the truth about who she is and what her own dark powers are, her aunt Franny comes to understand that she is ready to sacrifice everything for her family, and Sally Owens realizes that she is willing to give up everything for love.

The Book of Magic is a breathtaking conclusion that celebrates mothers and daughters, sisters and brothers, and anyone who has ever been in love.",https://m.media-amazon.com/images/I/51Y5vtnrW7L.jpg,12,100
A Poem for Every Day of the Year,"A Poem For Every Day of the Year is a magnificent collection of 366 poems compiled by Allie Esiri, one to share on every day of the year. Reflecting the changing seasons and linking to events on key dates – funny for April Fool's Day, festive for Christmas – these poems are thoughtful, inspiring, humbling, informative, quiet, loud, small, epic, peaceful, energetic, upbeat, motivating, and empowering!

Perfect for reading aloud and sharing with all the family, it is bursting at the seams with familiar favourites and exciting new discoveries. T.S.Eliot, John Betjeman, Lewis Carroll, William Shakespeare and Christina Rossetti sit alongside Seamus Heaney, Ted Hughes, Carol Ann Duffy, and Kate Tempest. This soul-enhancing book is the perfect gift that will last the whole year, with a little bit of magic to read every day.","https://images-na.ssl-images-amazon.com/images/I/51Id7FyvW1L._SX335_BO1,204,203,200_.jpg",5,100
The Subtle Art of Not Giving a F*ck,"A much-needed grab-you-by-the-shoulders-and-look-you-in the-eye moment of real talk, filled with entertaining stories and profane, ruthless humor, The Subtle Art of Not Giving a F**k is a refreshing slap for a generation to help them truly lead contented, grounded lives.","https://images-na.ssl-images-amazon.com/images/I/511vJPN7p5L._SX331_BO1,204,203,200_.jpg",8,100
The Book of Ichigo Ichie,"Ikigai urges individuals to simplify their lives by pursuing what sparks joy for them' (Marie '' Kondo)

Every moment in our life happens only once, and if we let it slip away, we lose it forever-an idea captured by the Japanese phrase ichigo ichie. Often used to convey that the encounter is unique and special, it is a tenet of Zen Buddhism and is attributed to a sixteenth-century master of the Japanese tea ceremony, or 'ceremony of attention', whose intricate rituals compel us to focus on the present moment.

From this age-old concept comes a new kind of mindfulness. In The Book of Ichigo Ichie, you will learn to use all five senses to anchor yourself in the present.

Every one of us contains a key that can open the door to attention, harmony with others, and love of life. And that key is ichigo ichie.","https://images-na.ssl-images-amazon.com/images/I/41fdfOGjPSL._SX348_BO1,204,203,200_.jpg",10,100
The Space Between us,"Set in modern-day India, this evocative novel follows upper-middle-class Parsi housewife Sera Dubash and 65-year-old illiterate household worker Bhima as they make their way through life. Though separated by their stations in life, the two women share bonds of womanhood that prove far stronger than the divisions of class or culture.",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p750x750/122913262_668773780744598_6395265712780641766_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=t0qRkzhlBEcAX8VnJES&tn=OCX3npLHWUYnCxhz&edm=AP_V10EAAAAA&ccb=7-4&oh=fa320b60f8b514f00554614627b94b5a&oe=60A6A9A2&_nc_sid=4f375e,16,100
The Space Between us,"Set in modern-day India, this evocative novel follows upper-middle-class Parsi housewife Sera Dubash and 65-year-old illiterate household worker Bhima as they make their way through life. Though separated by their stations in life, the two women share bonds of womanhood that prove far stronger than the divisions of class or culture.",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/e35/122778925_378815409979780_6636487433402275982_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=abue9Io5Ar4AX9oucGT&edm=AP_V10EAAAAA&ccb=7-4&oh=59e974c24fc23f2a584cc930a128918f&oe=60A783A7&_nc_sid=4f375e,20,100
Artifical condition,"Artificial Condition continues The Murderbot Diaries, a science fiction series that tackles questions of the ethics of sentient robotics. It appeals to fans of Westworld, Ex Machina, Ann Leckie's Imperial Raadch series, or Iain M. Banks' Culture novels. The main character is a deadly security droid that has bucked its restrictive programming and is balanced between contemplative self-discovery and an idle instinct to kill all humans. ""As a heartless killing machine, I was a complete failure.""

It has a dark past - one in which a number of humans were killed. A past that caused it to christen itself ""Murderbot."" But it has only vague memories of the massacre that spawned that title, and it wants to know more.

Teaming up with a Research Transport vessel named ART (you don't want to know what the ""A"" stands for), Murderbot heads to the mining facility where it went rogue. What it discovers will forever change the way it thinks.",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/123140149_706550506884309_8362983862902664579_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=pc8cRg9vqUUAX-yFLlJ&edm=AP_V10EAAAAA&ccb=7-4&oh=13f6bb0f90ae926e97f82151d6507dd5&oe=60A7B406&_nc_sid=4f375e,12,100
Artifical condition,"Artificial Condition continues The Murderbot Diaries, a science fiction series that tackles questions of the ethics of sentient robotics. It appeals to fans of Westworld, Ex Machina, Ann Leckie's Imperial Raadch series, or Iain M. Banks' Culture novels. The main character is a deadly security droid that has bucked its restrictive programming and is balanced between contemplative self-discovery and an idle instinct to kill all humans. ""As a heartless killing machine, I was a complete failure.""

It has a dark past - one in which a number of humans were killed. A past that caused it to christen itself ""Murderbot."" But it has only vague memories of the massacre that spawned that title, and it wants to know more.

Teaming up with a Research Transport vessel named ART (you don't want to know what the ""A"" stands for), Murderbot heads to the mining facility where it went rogue. What it discovers will forever change the way it thinks.",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/124176003_2898716550451969_6782428468003136336_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=-jNVpa1HqPkAX-XCpIt&edm=AP_V10EAAAAA&ccb=7-4&oh=1200cab2cf0d52a52b46b7df24d7e531&oe=60A7A409&_nc_sid=4f375e,5,100
Fahrenheit451,"Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television ""family"". But then he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television. When Mildred attempts suicide and Clarisse suddenly disappears, Montag begins to question everything he has ever known. He starts hiding books in his home, and when his pilfering is discovered, the fireman has to run for his life",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/125876623_3738268899556885_4023779064547012525_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=mGYqWOpKWnkAX8tjI40&edm=AP_V10EAAAAA&ccb=7-4&oh=f0b4f783c4ececf4b7ce3b1542c24f11&oe=60A92D74&_nc_sid=4f375e,8,100
Sea of rust ,"It's been 30 years since the apocalypse and 15 years since the murder of the last human being at the hands of robots. Humankind is extinct. Every man, woman, and child has been liquidated by a global uprising devised by the very machines humans designed and built to serve them. Most of the world is controlled by an OWI - One World Intelligence, the shared consciousness of millions of robots uploaded into one huge mainframe brain. But not all robots are willing to cede their individuality - their personalities - for the sake of a greater, stronger, higher power. These intrepid resisters are outcasts, solo machines wandering among various underground outposts, who have formed into an unruly civilization of rogue AIs in the wasteland that was once our world.

One of these resisters is Brittle, a scavenger robot trying to keep a deteriorating mind and body functional in a world that has lost all meaning. Although unable to experience emotions like a human, Brittle is haunted by the terrible crimes the robot population perpetrated on humanity. As Brittle roams the Sea of Rust, a large swath of territory that was once the Midwest, the loner robot slowly comes to terms with horrifyingly raw and vivid memories - and nearly unbearable guilt.

Sea of Rust is both a harsh story of survival and an optimistic adventure. A vividly imagined portrayal of ultimate destruction and desperate tenacity, it boldly imagines a future in which no hope remains, yet where a humanlike AI strives to find purpose among the",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/e35/130470684_506876200271702_3080496762925474991_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=I2W5dJkqVgUAX9-PFb-&edm=AP_V10EAAAAA&ccb=7-4&oh=5bad0079776f040645f528612b49f4f9&oe=60A97094&_nc_sid=4f375e,10,100
The Vampire Lestat,"Once an aristocrat in the heady days of pre-revolutionary France, now Lestat is a rockstar in the demonic, shimmering 1980s. He rushes through the centuries in search of others like him, seeking answers to the mystery of his terrifying exsitence. His story, the second volume in Anne Rice's best-selling Vampire Chronicles, is mesmerizing, passionate, and thrilling.",https://instagram.fsin5-1.fna.fbcdn.net/v/t51.2885-15/e35/134557485_1050012025411273_3351063020003488479_n.jpg?tp=1&_nc_ht=instagram.fsin5-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=y-62UbF1BCMAX9_vSEw&edm=AP_V10EAAAAA&ccb=7-4&oh=6d9e110edcf681a9fdb731df5de62e61&oe=60A91AD7&_nc_sid=4f375e,16,100
Go Tell the Bees That I Am Gone,"Jamie Fraser and Claire Randall were torn apart by the Jacobite Rising in 1746, and it took them twenty years to find each other again. Now the American Revolution threatens to do the same.
 
It is 1779 and Claire and Jamie are at last reunited with their daughter, Brianna, her husband, Roger, and their children on Fraser’s Ridge. Having the family together is a dream the Frasers had thought impossible.
 
Yet even in the North Carolina backcountry, the effects of war are being felt. Tensions in the Colonies are great and local feelings run hot enough to boil Hell’s tea-kettle. Jamie knows loyalties among his tenants are split and it won’t be long until the war is on his doorstep.
 
Brianna and Roger have their own worry: that the dangers that provoked their escape from the twentieth century might catch up to them. Sometimes they question whether risking the perils of the 1700s—among them disease, starvation, and an impending war—was indeed the safer choice for their family.
 
Not so far away, young William Ransom is still coming to terms with the discovery of his true father’s identity—and thus his own—and Lord John Grey has reconciliations to make, and dangers to meet . . . on his son’s behalf, and his own.
 
Meanwhile, the Revolutionary War creeps ever closer to Fraser’s Ridge. And with the family finally together, Jamie and Claire have more at stake than ever before.","https://images-na.ssl-images-amazon.com/images/I/51uf17CjFMS._SX327_BO1,204,203,200_.jpg",20,100
Written in My Own Heart's Blood,"1778: France declares war on Great Britain, the British army leaves Philadelphia, and George Washington’s troops leave Valley Forge in pursuit. At this moment, Jamie Fraser returns from a presumed watery grave to discover that his best friend has married his wife, his illegitimate son has discovered (to his horror) who his father really is, and his beloved nephew, Ian, wants to marry a Quaker. Meanwhile, Jamie’s wife, Claire Randall, and his sister, Jenny, are busy picking up the pieces.
 
The Frasers can only be thankful that their daughter Brianna and her family are safe in twentieth-century Scotland. Or not. In fact, Brianna is searching for her own son, who was kidnapped by a man determined to learn her family’s secrets. Her husband, Roger, has ventured into the past in search of the missing boy . . . never suspecting that the object of his quest has not left the present. Now, with Roger out of the way, the kidnapper can focus on his true target: Brianna herself.","https://images-na.ssl-images-amazon.com/images/I/51kyEl7HJsL._SX303_BO1,204,203,200_.jpg",12,100
The Butterfly Garden,"Near an isolated mansion lies a beautiful garden.

In this garden grow luscious flowers, shady trees…and a collection of precious “butterflies”—young women who have been kidnapped and intricately tattooed to resemble their namesakes. Overseeing it all is the Gardener, a brutal, twisted man obsessed with capturing and preserving his lovely specimens.

When the garden is discovered, a survivor is brought in for questioning. FBI agents Victor Hanoverian and Brandon Eddison are tasked with piecing together one of the most stomach-churning cases of their careers. But the girl, known only as Maya, proves to be a puzzle herself.

As her story twists and turns, slowly shedding light on life in the Butterfly Garden, Maya reveals old grudges, new saviors, and horrific tales of a man who’d go to any length to hold beauty captive. But the more she shares, the more the agents have to wonder what she’s still hiding…","https://images-na.ssl-images-amazon.com/images/I/51m0xFUwk-L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",5,100
